[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\contrib\auth\apps.py first seen with mtime 1691749589.23737
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\db\utils.py first seen with mtime 1691749592.2913702
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\DLLs\_queue.pyd first seen with mtime 1686114094.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\views\generic\dates.py first seen with mtime 1691749592.6063714
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\json\__init__.py first seen with mtime 1686114018.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\urls\conf.py first seen with mtime 1691749592.5263715
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\template\utils.py first seen with mtime 1691749592.5013714
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\forms\widgets.py first seen with mtime 1691749592.4023712
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\core\handlers\asgi.py first seen with mtime 1691749592.2413714
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\logging\handlers.py first seen with mtime 1686114018.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\email\mime\__init__.py first seen with mtime 1686114018.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File C:\Users\admin\AppData\Local\Programs\Python\Python311\Lib\asyncio\subprocess.py first seen with mtime 1686114018.0
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\contrib\auth\signals.py first seen with mtime 1691749589.2503705
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\template\loader.py first seen with mtime 1691749592.497371
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\db\models\base.py first seen with mtime 1691749592.3593705
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1691749591.2883706
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\views\debug.py first seen with mtime 1691749592.5923707
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\core\signing.py first seen with mtime 1691749592.205371
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1691749587.224253
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\contrib\staticfiles\management\commands\__init__.py first seen with mtime 1691749592.1963716
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\django\contrib\admin\sites.py first seen with mtime 1691749588.4983704
[16/Aug/2023 11:11:13] DEBUG [django.utils.autoreload:394] File Z:\vscode_data\Mark\pf4\pf4_Scoffs\.venv\Lib\site-packages\allauth\account\admin.py first seen with mtime 1691860085.5696466
